country,mean_dist,median_dist,max_dist,argmax_dist,min_dist,argmin_dist,mean_distw,median_distw,max_distw,argmax_distw,p90_distw,min_distw,argmin_distw,mean_distcap,median_distcap,max_distcap,argmax_distcap,min_distcap,argmin_distcap
Mauritius,8906.243872146119,8599.921,17590.84,Mexico,225.816,Réunion,8926.404053953489,8565.528,17756.85,Mexico,14170.298,234.3596,Réunion,8902.985684931507,8599.921,17590.84,Mexico,225.816,Réunion
Mexico,10266.23199543379,10736.3,18158.16,Cocos (Keeling) Islands,1063.046,Guatemala,10223.6294,10737.21,17756.85,Mauritius,14943.842,1427.233,Guatemala,10267.979091324201,10736.3,18158.16,Cocos (Keeling) Islands,1063.046,Guatemala
Micronesia (Federated States of),12044.662671296297,12900.490000000002,18120.11,Liberia,1270.342,Nauru,11919.59883490566,12732.625,17649.36,St. Helena,16007.658000000001,1794.798,Nauru,12043.897416666667,12890.98,18120.11,Liberia,1270.342,Nauru
Moldova,6481.100271818182,5945.609,17388.21,New Zealand,356.6724,Romania,6432.4452125,5875.477,17132.73,New Zealand,11972.61,353.7856,Romania,6466.841106818182,5934.1265,17388.21,New Zealand,356.6724,Romania
Mongolia,8657.839063636364,8198.295,18860.03,Falkland Islands,1172.047,China,8632.03863425926,8376.6565,18759.54,Falkland Islands,13131.71,1783.082,China,8646.571927272727,8198.295,18860.03,Falkland Islands,1172.047,China
Morocco,6756.313656363636,5837.5555,19292.91,Norfolk Island,270.717,Gibraltar,6700.422596759259,5847.0035,19333.78,New Zealand,12592.525,343.4248,Gibraltar,6747.881010909091,5840.3724999999995,19292.91,Norfolk Island,270.717,Gibraltar
Mozambique,8533.175201363636,8388.0705,15319.89,Tokelau,150.5023,Eswatini,8311.015652314814,8027.0595,15559.99,Tokelau,13255.849999999999,737.1703999999999,Eswatini,8528.744045454545,8388.0705,15319.89,Tokelau,150.5023,Eswatini
Myanmar (Burma),9215.455404608296,8550.929,19136.16,Peru,575.9035,Thailand,9207.602653051643,8502.772,18871.54,Peru,15874.998,718.4217,Thailand,9209.016694930875,8550.929,19136.16,Peru,575.9035,Thailand
Namibia,8276.2867,8317.411,16771.72,Marshall Islands,930.864,Botswana,8231.13075,8116.949500000001,16703.05,Marshall Islands,13158.385,1007.111,Botswana,8276.091731818182,8350.9355,16771.72,Marshall Islands,930.864,Botswana
Nauru,12396.61617,13632.5,19338.94,Liberia,725.771,Kiribati,12448.7955375,13614.325,19317.07,Liberia,17049.465,876.9871,Kiribati,12397.904529090909,13626.86,19338.94,Liberia,725.771,Kiribati
Nepal,8286.889185454545,7482.971,17650.42,Chile,437.5795,Bhutan,8282.876896296297,7446.268999999999,17577.78,Chile,14552.785,510.2557,Bhutan,8279.163508181819,7482.971,17650.42,Chile,437.5795,Bhutan
Netherlands,6659.01944266055,6666.5825,18867.02,New Zealand,173.5239,Germany,6595.214031308411,6599.5085,18384.94,New Zealand,11796.824000000004,379.1754,Germany,6649.148970183486,6666.5825,18867.02,New Zealand,360.315,United Kingdom
Netherlands Antilles,9154.011959817351,9191.019,19420.57,Christmas Island,275.9078,Venezuela,9031.554641395349,9034.158,18953.28,Indonesia,14882.083999999999,457.6761,Venezuela,9154.206448401826,9191.019,19420.57,Christmas Island,275.9078,Venezuela
New Caledonia,13067.524211415526,14236.52,19510.78,Mauritania,538.6225,Vanuatu,13120.483184186047,14218.83,19539.21,Mauritania,17387.884,579.1039,Vanuatu,13074.203165753424,14260.63,19510.78,Mauritania,538.6225,Vanuatu
New Zealand,13444.425568181818,13871.83,19586.18,Spain,1799.705,Norfolk Island,13490.998837962963,13994.945,19647.66,Gibraltar,18046.9,1322.491,Norfolk Island,13453.141099999999,13874.92,19586.18,Spain,1799.705,Norfolk Island
Nicaragua,10108.730098148148,10510.005000000001,19690.23,Cocos (Keeling) Islands,629.8522,Belize,10040.204478773585,10427.54,18178.89,Indonesia,15027.847,629.2749,Belize,10110.690274074073,10510.005000000001,19690.23,Cocos (Keeling) Islands,629.8522,Belize
Niger,7171.126279342723,6148.336,19846.2,Wallis & Futuna,802.7985,Nigeria,7058.03648229665,5949.09,19697.69,Wallis & Futuna,12759.690000000017,814.8551999999999,Nigeria,7163.864115492957,6148.336,19846.2,Wallis & Futuna,736.6656,Nigeria
Nigeria,7160.2333059090915,6183.496499999999,19510.67,Tuvalu,105.1806,Benin,7040.189161574074,5809.7695,19553.24,Tokelau,12800.465,475.8779,Benin,7024.981296363636,5806.6065,19940.46,Tokelau,568.2081,Benin
Niue,13368.447941363636,14482.6,19108.23,Chad,604.2923,Tonga,13423.235274074073,14816.295,19226.05,Niger,17551.715,581.7195,Tonga,13378.560355,14589.325,19108.23,Chad,604.2923,Tonga
Norfolk Island,13177.623717272727,14329.119999999999,19795.78,Western Sahara,770.1298,New Caledonia,13244.25539675926,14382.395,19710.59,Western Sahara,17398,822.5537,New Caledonia,13185.245685454545,14307.244999999999,19795.78,Western Sahara,770.1298,New Caledonia
North Korea,9596.777991780822,8788.533,19547.45,Uruguay,809.5382,China,9625.151990697674,9040.535000000002,19380.22,Uruguay,13991.578000000001,1116.908,Japan,9586.8567543379,8788.533,19547.45,Uruguay,809.5382,China
North Macedonia,6495.3149875,6086.0225,17861.73,New Zealand,155.9628,Albania,6442.034908962264,5831.2945,17719.54,New Zealand,11793.386000000002,168.1648,Albania,6482.740606944444,6086.0225,17861.73,New Zealand,155.9628,Albania
Northern Mariana Islands,11325.878212962964,11728.470000000001,18438.69,Brazil,2355.004,Japan,11375.489844339623,11635.51,18537.98,Brazil,15745.764,2445.683,Japan,11323.024361111111,11728.470000000001,18567.57,Brazil,2355.004,Japan
Norway,6775.636832272728,7058.576,17991.74,New Zealand,417.5658,Sweden,6753.679890277777,6968.924,17455.91,New Zealand,11962.56,502.6936,Sweden,6762.692217727273,7058.576,17991.74,New Zealand,417.5658,Sweden
Oman,7308.616562272728,6079.6675,15188.66,Peru,438.8936,United Arab Emirates,7262.225527314815,5896.6115,15114.95,Niue,13635.425,360.2072,United Arab Emirates,7298.055880454545,6039.032,15188.66,Peru,438.8936,United Arab Emirates
Pakistan,7733.457508294931,6743.58,16694.83,Chile,374.6522,Afghanistan,7728.239254460093,6669.429,16334.9,Chile,13694.728000000001,805.9722,Afghanistan,7724.10256359447,6743.58,16694.83,Chile,374.6522,Afghanistan
Palau,11218.349161290322,11560.9,18472.73,French Guiana,1683.642,Philippines,11272.944427230046,11616.72,18512.18,Brazil,16540.674,1561.964,Philippines,11218.940658986176,11553.34,19058.27,Brazil,1683.642,Philippines
Palestine,6542.312166227272,5456.729,17224.54,Niue,68.90157,Israel,6499.19460574074,5289.2085,17196.58,Niue,12347.685,72.66324,Israel,6528.524091227273,5456.729,17224.54,Niue,68.90157,Israel
Panama,9852.2122,10302.39,19470.98,Cocos (Keeling) Islands,514.3561,Costa Rica,9826.475533802817,10311.86,18896.77,Indonesia,15103.87,464.8169,Costa Rica,9854.067384331796,10302.39,19470.98,Cocos (Keeling) Islands,514.3561,Costa Rica
Papua New Guinea,12131.624622727273,13415.51,18848.79,Cape Verde,1408.743,Solomon Islands,12121.34025925926,13189.560000000001,18674.68,Cape Verde,16783.885000000002,1429.66,Solomon Islands,12134.455022727272,13415.51,18848.79,Cape Verde,1408.743,Solomon Islands
Paraguay,10313.364640552994,10607.28,19951.16,Taiwan,1134.649,Brazil,10253.561272300469,10512.35,19781.39,Taiwan,16255.098,1633.136,Brazil,10321.29457142857,10635.09,19951.16,Taiwan,1463.434,Brazil
Peru,10549.074621004565,11151.94,19812.04,Cambodia,1075.675,Bolivia,10446.785358139536,11020.29,19648.45,Cambodia,16241.883999999998,1157.475,Ecuador,10554.632337899544,11151.94,19812.04,Cambodia,1330.425,Ecuador
Philippines,10357.495802752293,10089.595000000001,19032.51,Bolivia,1114.391,Hong Kong SAR China,10493.377238317757,10206.18,19059.94,Bolivia,16780.649,1225.37,Taiwan,10355.161224770642,10024.134,19206.02,Bolivia,1114.391,Hong Kong SAR China
Poland,6554.386392694064,6310.153,17914.16,New Zealand,469.7038,Belarus,6489.246976744186,6211.926,17653.91,New Zealand,11990.982,387.0714,Czechia,6539.855186757991,6310.153,17914.16,New Zealand,469.7038,Belarus
Portugal,6768.618747272727,5867.636,19335.4,New Zealand,442.1214,Gibraltar,6710.4586,5938.806500000001,19539.48,New Zealand,12606.67,520.3647,Gibraltar,6760.295365454545,5867.636,19335.4,New Zealand,442.1214,Gibraltar
Puerto Rico,8780.427132727273,8585.911,18781.58,Christmas Island,159.7829,British Virgin Islands,8731.093771296297,8541.7235,18364.53,Indonesia,14639.93,175.987,British Virgin Islands,8779.476473636363,8585.911,18781.58,Christmas Island,159.7829,British Virgin Islands
Qatar,7061.7406027397265,5739.164,15721.33,Niue,303.9436,United Arab Emirates,7031.837826511628,5653.596,15733.46,Niue,13493.866,388.6831,United Arab Emirates,7049.893534246576,5739.164,15721.33,Niue,303.9436,United Arab Emirates
Romania,6425.975981818182,5866.084000000001,17555.44,New Zealand,299.2593,Bulgaria,6381.701214351851,5676.959,17395.67,New Zealand,11957.95,353.7856,Moldova,6412.741840909091,5793.586499999999,17555.44,New Zealand,299.2593,Bulgaria
Russia,6776.794000454545,6678.3814999999995,16774.49,New Zealand,686.9657,Belarus,7002.734888888889,6808.888,15644.42,New Zealand,11932.555,1495.438,Belarus,6760.889550454545,6647.9875,16774.49,New Zealand,686.9657,Belarus
Rwanda,7447.218033944954,6345.4400000000005,17300.54,Tokelau,376.9301,Uganda,7418.5465411214955,6246.2065,17350.46,Tokelau,12972.282000000001,421.9583,Uganda,7439.425928440367,6338.264,17300.54,Tokelau,376.9301,Uganda
Réunion,8834.303866818182,8547.711,17381.02,Mexico,225.816,Mauritius,8857.66934861111,8569.426499999998,17571.05,Mexico,13967.3,234.3596,Mauritius,8831.046225909091,8547.711,17381.02,Mexico,225.816,Mauritius
Samoa,12946.538039545454,14204.925,19904.45,Mali,574.2394,Vanuatu,13275.581393518518,14770.880000000001,19603.05,Niger,17500.875,470.5988,Wallis & Futuna,12952.161266818182,14225.43,19904.45,Mali,574.2394,Vanuatu
San Marino,6415.70119,6079.517,18621.28,New Zealand,230.0196,Italy,6358.36235,5795.321,18427.01,New Zealand,11910.63,308.0931,Slovenia,6404.382191818182,5971.463,18621.28,New Zealand,230.0196,Italy
Saudi Arabia,6907.221895454545,5591.433499999999,16203.79,Niue,425.2107,Bahrain,6816.178432870371,5199.0335,16547.74,Niue,13171.91,804.1005,Bahrain,6895.013727272727,5591.433499999999,16203.79,Niue,425.2107,Bahrain
Senegal,7572.251435211268,6148.223,19392.99,Solomon Islands,155.9527,Gambia,7500.2408373205735,6159.814,19427.63,Vanuatu,14794.806000000024,188.3058,Gambia,7568.117604225352,6148.223,19392.99,Solomon Islands,155.9527,Gambia
Seychelles,8131.2278636363635,7208.2705000000005,16827.86,Mexico,1347.699,Somalia,8131.655731481482,7232.6605,16806.21,Mexico,13984.385,1526.153,Comoros,8125.144540909091,7208.2705000000005,16827.86,Mexico,1347.699,Somalia
Sierra Leone,7505.600031651376,6168.683499999999,19282.25,Solomon Islands,290.4326,Guinea,7433.600860280374,6106.1355,19187.16,Solomon Islands,14365.117000000004,237.7669,Guinea,7501.82847293578,6168.683499999999,19282.25,Solomon Islands,290.4326,Guinea
Singapore,10234.33944562212,9550.247,19747.4,Ecuador,886.1407,Indonesia,10207.583627906977,9504.424,19650.13,Ecuador,17625.936,1012.916,Indonesia,10230.97514608295,9520.76,19747.4,Ecuador,886.1407,Indonesia
Slovakia,6610.445342056075,6507.272,18263.92,New Zealand,450.2972,Yugoslavia,6564.496655238096,6199.9075,17814.12,New Zealand,11972.726999999999,394.59,Poland,6597.034197196262,6437.286,18263.92,New Zealand,450.2972,Yugoslavia
Slovenia,6645.699679245283,6739.4815,18478.29,New Zealand,283.7302,San Marino,6590.796925,6413.637,18192.7,New Zealand,11833.912000000008,308.0931,San Marino,6633.23029245283,6659.877,18478.29,New Zealand,283.7302,San Marino
Solomon Islands,12807.566425233645,13786.150000000001,19558.13,Guinea,1258.567,Nauru,12857.270585714285,13814.630000000001,19431.99,Guinea-Bissau,16670.398999999998,1256.46,Nauru,12811.161775700935,13786.150000000001,19558.13,Guinea,1258.567,Nauru
Somalia,7540.282736363636,6484.1295,15827.35,Tokelau,1017.097,Kenya,7450.194246759259,6286.0045,15947.2,Tokelau,13575.08,927.5163,Djibouti,7532.087936363637,6468.188,15827.35,Tokelau,1017.097,Kenya
South Africa,8883.157847272727,9246.3915,15943.48,Marshall Islands,996.4764,Lesotho,8641.829503703704,8760.106499999998,15488.72,Marshall Islands,13017.955,475.7303,Lesotho,8467.464771363637,8500.811000000002,15598.37,Marshall Islands,256.2495,Botswana
South Korea,9691.95700502283,8981.467,19629.5,Uruguay,955.6511,China,9763.196429302325,9112.695,19563.95,Uruguay,14255.581999999999,951.7373,Japan,9682.230443378996,8981.467,19629.5,Uruguay,955.6511,China
Spain,6674.0689538812785,6177.53,19586.18,New Zealand,492.9274,Andorra,6603.462135348837,6212.857,19516.56,New Zealand,12077.589999999998,519.3864,Andorra,6665.174917351598,6172.208,19586.18,New Zealand,492.9274,Andorra
Sri Lanka,8732.50304090909,7683.4015,17519.65,Ecuador,772.164,Maldives,8747.61653148148,7665.7595,17664.95,Ecuador,15594.295,894.3248,Maldives,8726.514227272728,7677.848,17519.65,Ecuador,772.164,Maldives
St. Helena,8228.907468181818,7498.0599999999995,19001.35,Marshall Islands,2203.998,Angola,8293.311578703704,7522.2339999999995,18856.39,Marshall Islands,14642.595000000001,2584.414,Liberia,8231.5419,7498.0599999999995,19001.35,Marshall Islands,2203.998,Angola
St. Kitts & Nevis,8874.428269302325,8486.021,18711.5,East Timor,177.1907,Guadeloupe,8734.14224009434,8374.396999999999,18334.04,East Timor,14631.627,605.6632,Guadeloupe,8873.258222790697,8486.021,18711.5,East Timor,177.1907,Guadeloupe
St. Lucia,8832.048774608294,8511.891,19095.67,East Timor,65.81419,Martinique,8779.29939713615,8488.982,19103.31,East Timor,14812.820000000002,72.96738999999998,Martinique,8831.08217092166,8511.891,19095.67,East Timor,65.81419,Martinique
St. Pierre & Miquelon,7974.054163636364,7478.72,17332.44,Australia,1573.979,United States,7920.441347222222,7364.594,17556.47,Australia,13307.145,1767.435,Bermuda,7968.896,7462.889,17576.49,Australia,1512.249,Canada
St. Vincent & Grenadines,8870.64474654378,8587.411,19128.46,East Timor,156.6594,Martinique,8817.251329107981,8541.085999999998,19134.85,East Timor,14874.544000000002,164.3965,Martinique,8869.800571428572,8587.411,19128.46,East Timor,156.6594,Martinique
Sudan,6848.041195,5018.948,17618.83,Niue,681.6393,Eritrea,6830.271751851852,4954.0665,17620.83,Niue,12608.619999999999,818.3794,Eritrea,6836.580667727273,5014.7715,17618.83,Niue,681.6393,Eritrea
Suriname,8824.357263181819,8497.507000000001,19719.86,East Timor,337.7052,French Guiana,8763.565919907407,8427.82,19593.63,East Timor,15216.685,390.9348,French Guiana,8823.56143590909,8497.507000000001,19719.86,East Timor,337.7052,French Guiana
Sweden,6737.542575,6740.402,17738.59,New Zealand,377.9402,Estonia,6673.631618055556,6636.746999999999,17389.62,New Zealand,11855.880000000001,450.0833,Denmark,6723.412591363636,6740.402,17738.59,New Zealand,377.9402,Estonia
Switzerland,6487.0596472727275,6242.1990000000005,19006.65,New Zealand,309.8716,Luxembourg,6426.43525787037,6142.038500000001,18635.84,New Zealand,11919.35,322.1524,Luxembourg,6476.771234545455,6215.0650000000005,19006.65,New Zealand,309.8716,Luxembourg
Syria,6550.063413863637,5482.483,16973.24,Niue,85.94135,Lebanon,6509.199508796296,5474.536,16834.25,Niue,12347.57,228.363,Lebanon,6535.782994318181,5482.483,16973.24,Niue,85.94135,Lebanon
São Tomé & Príncipe,7329.645783181818,6544.27,19044.15,Tokelau,301.1958,Gabon,7284.729956018518,6271.032499999999,19027.82,Tokelau,12960.61,383.8935,Gabon,7325.876059090909,6544.27,19044.15,Tokelau,301.1958,Gabon
Taiwan,9947.379543378996,9457.249,19951.16,Paraguay,815.0919,Hong Kong SAR China,9999.395349302325,9505.849,19781.39,Paraguay,15692.962,741.2901,Hong Kong SAR China,9941.615237442922,9457.249,19951.16,Paraguay,815.0919,Hong Kong SAR China
Tajikistan,7426.700783636364,6578.679,16377.07,Chile,294.7517,Uzbekistan,7425.702876851852,6599.553,16396.58,Chile,13176.335,340.0008,Uzbekistan,7415.901500909091,6578.679,16377.07,Chile,294.7517,Uzbekistan
Tanzania,7863.4341162037035,6913.4075,16139.55,Tokelau,690.7507,Comoros,7767.950160377359,6840.3685000000005,16450.55,Tokelau,13459.395,1015.016,Comoros,7759.011177777777,6854.3395,16523.72,Tokelau,892.9504,Malawi
Thailand,9432.987015,8703.472000000002,19711.86,Peru,525.2488,Laos,9478.99470925926,8763.764500000001,19475.95,Peru,16455.52,520.5353,Cambodia,9427.12957409091,8675.1995,19711.86,Peru,525.2488,Laos
Togo,7203.084178181818,6210.991,19682.05,Tuvalu,131.6918,Benin,7126.436398148148,6030.2005,19667.23,Tuvalu,13249.42,246.0379,Benin,7200.247181363636,6195.91,19682.05,Tuvalu,162.8375,Benin
Tokelau,13251.498080184332,14367.6,19458.98,Nigeria,662.7784,Wallis & Futuna,13312.775065258216,14598.7,19553.24,Nigeria,17369.792,516.8264,Samoa,13260.478822119816,14367.6,19940.46,Nigeria,662.7784,Wallis & Futuna
Tonga,13673.656744392523,14556.895,19139.56,Niger,604.2923,Niue,13732.908598095239,14722.22,19222.06,Niger,17742.825,581.7196,Niue,13683.167291121496,14556.895,19139.56,Niger,604.2923,Niue
Trinidad & Tobago,8859.657333181818,8715.528,19221.97,East Timor,161.2713,Grenada,8807.21055324074,8712.7855,19234.82,East Timor,14837.875,190.8252,Grenada,8859.155746818182,8715.528,19221.97,East Timor,161.2713,Grenada
Tunisia,6450.438495454545,5916.217000000001,18491.59,New Zealand,400.532,Malta,6400.342034722222,5478.439,18556.12,New Zealand,11603.25,401.5487,Malta,6439.780186363636,5864.3315,18491.59,New Zealand,400.532,Malta
Turkey,6461.295933333334,5754.493,17234.53,New Zealand,442.0466,Romania,6450.953839069767,5614.723,16923.6,Niue,12140.756,712.0091,Bulgaria,6492.532484018265,5748.845,16882.32,New Zealand,714.7758,Lebanon
Turkmenistan,7081.962808636364,6373.692,15460.66,Chile,669.2072,Iran,7084.278789351852,6354.880499999999,15549.7,Chile,13141.65,850.7102999999998,Uzbekistan,7068.885835909091,6311.1715,15460.66,Chile,669.2072,Iran
Turks & Caicos Islands,8910.028516818182,8867.635999999999,18758.8,Christmas Island,348.0301,Haiti,8854.110349074073,8861.3525,18127.49,Indonesia,14361.71,330.1602,Dominican Republic,8909.112998636363,8867.635999999999,18758.8,Christmas Island,348.0301,Haiti
Tuvalu,13275.127555140187,13996.295,19699.95,Ghana,733.4758,Wallis & Futuna,13300.519668571429,14102.325,19735.32,Ghana,17798.149999999998,839.9743999999998,Wallis & Futuna,13279.288274766355,14038.95,19699.95,Ghana,733.4758,Wallis & Futuna
Uganda,7391.269669266055,6202.2465,17143.89,Tokelau,376.9301,Rwanda,7346.354898130841,6072.951,17215,Tokelau,13059.868000000002,421.9583,Rwanda,7382.817201376147,6202.2465,17143.89,Tokelau,376.9301,Rwanda
Ukraine,6584.9048999999995,6224.206,17284.29,New Zealand,433.5281,Belarus,6548.036574418605,6169.848,16794.39,New Zealand,12281.993999999999,701.2996,Belarus,6569.836114611872,6224.206,17284.29,New Zealand,433.5281,Belarus
United Arab Emirates,7140.517838636363,5891.9400000000005,15429.58,Niue,303.9436,Qatar,7134.654375925926,5843.968,15349.76,Niue,13679.64,360.2072,Oman,7129.229306818182,5876.263000000001,15429.58,Niue,303.9436,Qatar
United Kingdom,6653.855075454545,6612.7635,19147.14,New Zealand,323.7796,Belgium,6634.553362962963,6588.4715,18521.32,New Zealand,11812.81,425.3322,Ireland,6644.544705454546,6612.7635,19147.14,New Zealand,323.7796,Belgium
United States,8618.304652727273,8517.913,16764.67,Cocos (Keeling) Islands,548.3946,Canada,9359.216152777777,9758.9375,16465.65,Mauritius,13880.94,2079.297,Canada,8759.187756818183,8705.885,17036.69,Cocos (Keeling) Islands,737.0425,Canada
Uruguay,10615.101788018434,11074.05,19629.5,South Korea,1342.72,Chile,10565.762112676057,11067.54,19563.95,South Korea,15762.220000000001,1465.944,Chile,10626.026322580645,11074.05,19629.5,South Korea,1342.72,Chile
Uzbekistan,7418.735972272727,6579.485000000001,16416.31,Chile,294.7517,Tajikistan,7380.281769444445,6516.9425,16332.24,Chile,13117.66,340.0008,Tajikistan,7407.394663181818,6579.485000000001,16416.31,Chile,294.7517,Tajikistan
